no,pred
5124,0.12981199
14114,0.07859468
3390,0.12763342
9010,0.074928634
9301,0.024198337
16502,0.03431054
14257,0.10411806
3857,0.060197573
5338,0.097277366
16854,0.09562223
79,0.08291823
7962,0.056564696
12044,0.04577099
10027,0.01769413
9222,0.08862202
4622,0.087226145
13349,0.09192939
6391,0.04744462
14512,0.07196707
4362,0.064654976
5236,0.058274973
8327,0.027384074
11677,0.10583001
6581,0.08143222
5083,0.051675193
14404,0.049311653
869,0.05424265
10465,0.123230375
10574,0.0889993
11212,0.23770577
12120,0.08559819
8597,0.06970774
5346,0.07118882
7508,0.08618076
4755,0.08725988
1554,0.08822742
15536,0.066694
11471,0.044058535
15171,0.022203268
9057,0.074928634
12017,0.074928634
13230,0.074928634
4828,0.047546457
4746,0.10706319
1153,0.064625
5619,0.055993043
4237,0.06970774
14662,0.06429859
14856,0.053089183
11325,0.043245982
5538,0.028153809
17128,0.03201134
2073,0.05980782
13003,0.039172675
9694,0.051675193
12071,0.044288386
13007,0.058653615
15651,0.03899894
16975,0.07202803
320,0.1061875
14878,0.05543951
10160,0.040205665
4944,0.09530123
1677,0.07502863
7594,0.06948589
12852,0.089181505
1057,0.074928634
5666,0.07198029
12983,0.06570403
14510,0.07202803
9191,0.06458782
14308,0.14366986
11748,0.077687174
10951,0.0258936
2633,0.10862449
2796,0.07115764
10174,0.06865204
3257,0.07202803
4660,0.0889993
5158,0.059876285
12818,0.07715434
5257,0.074928634
3067,0.039619166
8283,0.07468839
7683,0.08143222
12824,0.08440834
4501,0.078028105
11689,0.061678793
192,0.03982476
6948,0.084832795
3610,0.055976197
9732,0.055796143
16174,0.100124955
9643,0.051675193
11343,0.074928634
9616,0.1277559
9247,0.0889993
15082,0.08143222
13571,0.037275862
12482,0.06816583
7427,0.027731897
10704,0.051278777
12492,0.06284263
6828,0.051675193
14448,0.033234224
8323,0.022624344
5545,0.14303875
371,0.22276026
6297,0.05543951
8533,0.07715414
10449,0.08143222
1167,0.042519126
7731,0.11746853
12505,0.07202803
16662,0.028315537
13703,0.08143222
4858,0.015650317
14939,0.022736587
8087,0.04349491
426,0.066694
9251,0.029453075
9135,0.074928634
3557,0.074928634
2296,0.07715434
15195,0.06814797
15053,0.088749446
13539,0.026285924
9362,0.03781804
4075,0.02246557
9922,0.06363065
16350,0.033168606
11511,0.055616308
9981,0.060657408
15497,0.050669044
12108,0.031879593
14641,0.08210713
13998,0.07715434
9303,0.03029485
4678,0.074928634
6305,0.07115764
12995,0.064226076
16393,0.10461634
6870,0.07202803
11950,0.03415694
16240,0.057986736
7807,0.15689746
5233,0.08772647
10367,0.14566703
5764,0.04361649
4815,0.04047115
8518,0.07202803
4215,0.06570403
10607,0.06289258
17435,0.08143222
8369,0.06483428
17248,0.09134695
7698,0.049766444
1432,0.16933385
1997,0.24257095
7744,0.2234281
7081,0.087226145
9158,0.1296634
14314,0.03602126
1458,0.08143222
8051,0.07459041
1135,0.07843279
15944,0.037818234
12153,0.05481696
9454,0.0801226
7027,0.052095093
14107,0.06814797
2134,0.037572704
14445,0.051353
7570,0.2198843
15900,0.040015623
8236,0.049958117
35,0.05725023
8602,0.074928634
5972,0.059862666
9392,0.040217582
14014,0.118153885
8358,0.038588114
9966,0.08143222
7771,0.074928634
6171,0.10215374
8566,0.074928634
10482,0.074928634
2794,0.06726979
15199,0.049937233
10598,0.08143222
826,0.07938816
3332,0.045864593
1103,0.04669763
5712,0.09850184
6957,0.034819786
11954,0.059383567
9413,0.077687174
16386,0.17951669
11466,0.07998771
11244,0.074928634
7598,0.070974894
12485,0.041392397
15639,0.016387053
15973,0.05543951
5774,0.06256337
7498,0.08143222
5685,0.05024249
3378,0.08522779
4621,0.06884529
16081,0.03505012
7249,0.0688808
13895,0.08564272
15727,0.040073242
6201,0.04118633
1645,0.075853
1698,0.08143222
280,0.083248466
14967,0.06570403
217,0.091043755
164,0.051675193
12686,0.017258307
15673,0.113151684
14482,0.26666623
10042,0.06429859
5132,0.027001852
7952,0.2126439
6463,0.07202803
1046,0.064499915
4709,0.07202803
970,0.074928634
13955,0.030584589
16128,0.08143222
15870,0.18160757
15012,0.051675193
2023,0.08143222
10295,0.029156022
7808,0.02953323
1072,0.07468839
9909,0.030560829
16601,0.042722624
10266,0.04589173
5050,0.051675193
1294,0.071574375
8257,0.14508478
12989,0.06465855
9855,0.074928634
6730,0.09198135
17236,0.06923405
6722,0.079473756
16549,0.15050222
12130,0.032166515
16435,0.074928634
14055,0.028385641
3519,0.0386162
8178,0.074928634
4328,0.037958506
4276,0.07312745
14051,0.17457783
2078,0.026539676
7816,0.018619021
14777,0.023289273
10917,0.046018776
3179,0.062089764
9690,0.09442801
11790,0.04668586
1267,0.044123333
16224,0.043566663
9166,0.06762704
931,0.07572701
17037,0.08054769
17357,0.058056213
5196,0.074928634
994,0.044763763
15882,0.074928634
14423,0.03816309
16728,0.027686657
10342,0.04945177
2536,0.047047563
9998,0.07202803
12603,0.08143222
13904,0.079415865
13072,0.068328924
2867,0.074928634
8767,0.074928634
3997,0.07036385
11171,0.08440834
16069,0.07202803
15563,0.07544454
15439,0.06638299
7605,0.053863917
9950,0.17872788
8093,0.09135528
16461,0.033781927
15624,0.077687174
1533,0.074928634
5156,0.08143222
11783,0.05155847
3647,0.105228744
1586,0.040620234
477,0.07202803
12456,0.15695184
676,0.074928634
14117,0.066694
15420,0.06570403
6780,0.049027007
55,0.03249976
14565,0.07202803
11910,0.07816389
12030,0.18277803
3287,0.06810213
16213,0.10373646
12387,0.019710645
1706,0.077687174
7859,0.063452445
9808,0.08600401
11952,0.03650489
11692,0.031898644
6813,0.069694765
11978,0.15550748
5644,0.101086065
16648,0.077584244
9823,0.051675193
13376,0.16454707
2992,0.02822495
8128,0.02125927
5742,0.114268824
15309,0.04594301
10506,0.074928634
5801,0.050596762
38,0.08010468
8860,0.047738362
6936,0.074928634
17131,0.050909203
1721,0.059557263
15137,0.046639524
5049,0.12894273
4783,0.10961641
16760,0.06376388
5314,0.03806555
16888,0.052806854
15902,0.022356343
16358,0.074928634
1577,0.05805929
9617,0.07290601
13094,0.074479975
356,0.054549567
2186,0.030336948
2616,0.07255677
12781,0.079174496
14546,0.053853218
226,0.09443121
3029,0.039605033
8936,0.08589209
4974,0.056842156
5445,0.0624454
17322,0.051675193
2238,0.099756844
3251,0.09395758
16875,0.04159407
12879,0.037837412
9963,0.042324465
7419,0.04980678
11194,0.039046988
9794,0.07202803
11141,0.05025204
6527,0.07202803
2472,0.047047563
2544,0.07154339
1841,0.05099434
7663,0.053498406
3330,0.051155627
3516,0.07468839
3724,0.077687174
9023,0.074928634
14797,0.0889993
14491,0.05739517
16179,0.07581624
4253,0.047692724
15253,0.077687174
11226,0.052041315
15513,0.058483575
10356,0.05797258
14815,0.037228327
5250,0.051270332
17278,0.042765707
172,0.07715434
15172,0.047147438
3641,0.042444665
11679,0.07835442
9180,0.04301535
2013,0.063334085
8001,0.035501193
15648,0.08143222
494,0.03341927
15078,0.048872363
12785,0.074928634
9043,0.04471974
12468,0.023303408
15704,0.07468839
8667,0.074928634
12530,0.056036886
15248,0.07090398
10020,0.08321777
10973,0.042325385
8027,0.072908156
463,0.07202803
11723,0.06923405
8374,0.07202803
15350,0.074928634
12845,0.08141601
17072,0.07468839
137,0.047047563
4440,0.03902502
11198,0.06923405
8984,0.07855928
12476,0.026902603
16990,0.07202803
1678,0.13452539
11889,0.0549953
1579,0.045089602
17091,0.08143222
3778,0.07544454
7397,0.07715434
14551,0.06811051
14479,0.09711468
9005,0.03622596
14769,0.027456293
890,0.039902672
13637,0.07026241
11582,0.025913341
7774,0.07715434
3715,0.074928634
9831,0.056672443
5762,0.079802305
13926,0.07792549
1663,0.023595283
9511,0.07036385
7320,0.11874205
17025,0.041042067
7855,0.025184752
6199,0.074414246
13211,0.05698255
10117,0.12244088
1595,0.08143222
16415,0.074928634
2133,0.06570403
15800,0.078711286
12156,0.06429859
2249,0.03015506
8854,0.053741075
12576,0.078451216
7507,0.043771483
13065,0.07328484
13361,0.05543951
15009,0.037706953
8904,0.07395658
13860,0.08143222
1807,0.035563678
10805,0.06428419
8762,0.074928634
5272,0.06429859
15554,0.09250538
7389,0.048320875
13836,0.062450383
15955,0.074928634
2860,0.08143222
9331,0.0728291
11948,0.034182575
16668,0.074928634
592,0.023047017
4116,0.04364726
3900,0.075177796
7854,0.17116074
13809,0.074928634
4439,0.052232157
7093,0.13996227
14650,0.06307939
3731,0.074928634
10204,0.03723548
1210,0.05353575
15804,0.047923066
16263,0.04767684
15579,0.027654827
5171,0.061728798
16759,0.074928634
13707,0.092149995
6337,0.045151953
5810,0.09134695
4401,0.26834604
9495,0.057666358
10911,0.06429859
14911,0.04802768
6333,0.16914843
10762,0.063968316
16871,0.074928634
16431,0.072588556
840,0.10951572
14547,0.12447327
13162,0.031832535
15298,0.077687174
16014,0.074928634
16286,0.06429859
6740,0.10919276
15586,0.13376994
7827,0.15958604
14802,0.11761251
15765,0.03558741
2651,0.030220127
3043,0.04994904
5733,0.06324304
6698,0.06767587
10511,0.13433525
15118,0.06256337
259,0.035333674
15642,0.06363914
16413,0.07303525
629,0.02787813
16233,0.057694748
8870,0.12466885
13554,0.079174496
7210,0.044717766
15697,0.051675193
188,0.06190172
11603,0.06132778
14072,0.034204535
7174,0.029010978
13438,0.0837666
7860,0.043406874
15098,0.11895147
16331,0.075873874
13270,0.023182333
13156,0.04535126
16557,0.074928634
7216,0.09647879
3475,0.08522779
1456,0.067782365
319,0.074928634
3574,0.058897026
15936,0.030846588
9916,0.05244627
15220,0.045661032
7366,0.08143222
6359,0.04883383
10697,0.07382061
3974,0.05466763
15527,0.08143222
10835,0.028546507
15665,0.037491005
15864,0.023948278
17387,0.07536791
220,0.06388369
8809,0.08339841
16048,0.066281945
4257,0.07202803
15661,0.06429859
8768,0.18167755
16747,0.05133439
10000,0.08589209
9759,0.09658178
3262,0.13087875
10352,0.018559285
4271,0.08143222
6002,0.04850749
12873,0.08143222
11166,0.040653426
15156,0.04574525
13704,0.08984411
15434,0.051675193
16209,0.064654976
14497,0.020346325
15160,0.049551155
12460,0.022154126
8329,0.018459052
10531,0.06036198
13091,0.122640155
14998,0.03742338
13946,0.0889993
9040,0.074928634
15847,0.09716589
1325,0.08143222
2737,0.150389
422,0.05018008
314,0.20884973
13434,0.13429458
1376,0.06767587
13673,0.017018478
2152,0.061663777
380,0.074928634
5457,0.057196226
9948,0.1316121
10437,0.07057093
13815,0.035372794
4522,0.08000375
546,0.07202803
13675,0.05558276
8492,0.066694
3697,0.054163527
346,0.03496196
16283,0.16678846
3189,0.043703973
486,0.04401889
17343,0.07963645
13718,0.15925412
11254,0.07512374
10364,0.096008874
14793,0.024215095
6814,0.028511321
10242,0.077687174
1935,0.0954262
829,0.025457552
12299,0.05997637
16599,0.084832795
4539,0.081810385
15175,0.074928634
13464,0.05450577
16721,0.074928634
3740,0.07468839
867,0.044448838
1777,0.05492145
14973,0.040504076
10644,0.083371125
12704,0.024428528
16739,0.074928634
1126,0.074928634
10723,0.028794939
14568,0.043529786
9902,0.04674482
1532,0.04214985
6157,0.05615774
9310,0.07202803
5458,0.046158407
11359,0.074928634
1982,0.074928634
3651,0.05321846
1495,0.17989758
6774,0.077687174
3881,0.04506859
2311,0.06570403
10252,0.074928634
2610,0.07202803
16742,0.032241054
17339,0.021854764
1914,0.08440834
12534,0.08253363
4664,0.099422455
276,0.11592693
205,0.07202803
7706,0.0889993
9480,0.050620876
10898,0.066694
16969,0.06636144
15057,0.068736054
13590,0.08589209
12881,0.026958808
3694,0.074928634
16002,0.11807651
3539,0.042107645
1727,0.074928634
6248,0.074928634
1983,0.0920234
6035,0.084877245
16232,0.05763826
5746,0.041947775
14732,0.07202803
15395,0.077687174
12820,0.022903586
2436,0.07468839
11533,0.018807037
12638,0.058592476
3219,0.028513556
12369,0.074928634
17130,0.059557263
1078,0.047054477
4561,0.0462231
307,0.0684132
3493,0.050644886
10978,0.059579752
8550,0.047192957
13018,0.07031473
15114,0.030702824
4482,0.027294992
4671,0.04895619
16608,0.06923405
1686,0.051423304
10311,0.03439956
8921,0.04673934
15752,0.04341443
10321,0.074928634
2351,0.06429859
3895,0.03661979
6429,0.07202803
2201,0.12486909
17151,0.08636173
15588,0.034969524
8703,0.15804826
8688,0.051675193
15739,0.08470285
7755,0.08522779
13231,0.047588207
8614,0.074928634
14955,0.074928634
13692,0.09719217
17432,0.074928634
6621,0.074928634
934,0.060339183
611,0.035054483
7408,0.077687174
13908,0.05455642
10243,0.06188762
5363,0.160052
11070,0.024770575
9151,0.09204422
14736,0.050643843
15088,0.06429859
930,0.2812683
15822,0.074928634
1654,0.054681275
11151,0.03212923
2285,0.09183124
4652,0.035357345
10049,0.05897775
4543,0.0611208
12223,0.08143222
2650,0.074928634
11446,0.08067924
9374,0.048375107
15935,0.053088542
10203,0.055963695
16603,0.074928634
11824,0.077687174
15181,0.07202803
12504,0.052681636
8545,0.02751602
16867,0.08440834
16060,0.045563377
8950,0.021102628
2615,0.114369355
14264,0.07388111
10180,0.12562451
16924,0.047987472
9764,0.13642757
16411,0.0660624
9121,0.15419953
15995,0.074928634
12635,0.0430861
11557,0.14894198
16018,0.057886872
16116,0.08522779
15032,0.07468839
9872,0.07202803
13328,0.074928634
1796,0.07202803
13401,0.11862526
3598,0.08217776
8129,0.07715434
15374,0.039172664
13127,0.025629707
3684,0.08529883
2281,0.0752927
9615,0.07938816
