no,pred
5124,0.08263146
14114,0.10168623
3390,0.10879862
9010,0.07733273
9301,0.017115349
16502,0.053290956
14257,0.059578832
3857,0.06291641
5338,0.07830744
16854,0.08603539
79,0.11336984
7962,0.06678678
12044,0.051137056
10027,0.031888828
9222,0.06062466
4622,0.077477396
13349,0.086423
6391,0.043450546
14512,0.061034743
4362,0.052413195
5236,0.08360148
8327,0.03745245
11677,0.08972905
6581,0.078299224
5083,0.047575448
14404,0.043680143
869,0.066428825
10465,0.13611098
10574,0.08513447
11212,0.20588876
12120,0.07809227
8597,0.072078615
5346,0.07500988
7508,0.10463719
4755,0.09963533
1554,0.092702895
15536,0.06797441
11471,0.048181206
15171,0.035061095
9057,0.07733273
12017,0.07733273
13230,0.07733273
4828,0.05153399
4746,0.12864707
1153,0.07247529
5619,0.063413054
4237,0.072078615
14662,0.06730153
14856,0.05826141
11325,0.04900176
5538,0.022802189
17128,0.048388083
2073,0.10239079
13003,0.0346465
9694,0.047575448
12071,0.058074012
13007,0.06930614
15651,0.036073487
16975,0.077477396
320,0.15504538
14878,0.047664173
10160,0.04396198
4944,0.13897498
1677,0.064182095
7594,0.070173405
12852,0.0829125
1057,0.07733273
5666,0.06796979
12983,0.067428805
14510,0.077477396
9191,0.038401183
14308,0.13198544
11748,0.078097515
10951,0.0460467
2633,0.1681051
2796,0.0629334
10174,0.061498977
3257,0.077477396
4660,0.08513447
5158,0.06110776
12818,0.07844557
5257,0.07733273
3067,0.030374292
8283,0.078243494
7683,0.078299224
12824,0.07907274
4501,0.0741726
11689,0.050482307
192,0.04244163
6948,0.07809227
3610,0.05698808
9732,0.058372673
16174,0.08470168
9643,0.047575448
11343,0.07733273
9616,0.11970486
9247,0.08513447
15082,0.078299224
13571,0.03937769
12482,0.10167574
7427,0.049674455
10704,0.033867437
12492,0.07428531
6828,0.047575448
14448,0.03039424
8323,0.02692961
5545,0.13223349
371,0.19099623
6297,0.047664173
8533,0.09106179
10449,0.078299224
1167,0.03764689
7731,0.08863666
12505,0.077477396
16662,0.03145734
13703,0.078299224
4858,0.020905487
14939,0.024197327
8087,0.050297618
426,0.06797441
9251,0.033876333
9135,0.07733273
3557,0.07733273
2296,0.07844557
15195,0.06810287
15053,0.07878189
13539,0.028322216
9362,0.063096665
4075,0.03163854
9922,0.048034556
16350,0.04774029
11511,0.06044444
9981,0.04123029
15497,0.051961526
12108,0.04153562
14641,0.07435789
13998,0.07844557
9303,0.039165866
4678,0.07733273
6305,0.0629334
12995,0.055875212
16393,0.072333485
6870,0.077477396
11950,0.02742926
16240,0.044631682
7807,0.15435503
5233,0.0948222
10367,0.13516267
5764,0.05058557
4815,0.031443235
8518,0.077477396
4215,0.067428805
10607,0.0575939
17435,0.078299224
8369,0.083150186
17248,0.0800913
7698,0.04029471
1432,0.15675569
1997,0.23122239
7744,0.1917435
7081,0.077477396
9158,0.15463264
14314,0.040493395
1458,0.078299224
8051,0.07625263
1135,0.13868217
15944,0.041316792
12153,0.07700387
9454,0.091580175
7027,0.047575448
14107,0.06810287
2134,0.03176033
14445,0.08089469
7570,0.16254283
15900,0.04667386
8236,0.06530781
35,0.07415088
8602,0.07733273
5972,0.0625133
9392,0.062159244
14014,0.13928579
8358,0.036905896
9966,0.078299224
7771,0.07733273
6171,0.09035845
8566,0.07733273
10482,0.07733273
2794,0.058261957
15199,0.06110776
10598,0.078299224
826,0.08508412
3332,0.064820446
1103,0.08385223
5712,0.13287301
6957,0.045929648
11954,0.060559593
9413,0.078097515
16386,0.14993608
11466,0.07922041
11244,0.07733273
7598,0.066534944
