no,pred
5124,0.009407459
14114,0.10603679
3390,0.0660301
9010,0.0730006
9301,0.19645219
16502,0.0027286126
14257,0.037683647
3857,0.10475195
5338,0.54381907
16854,0.42946213
79,0.09660192
7962,0.046424314
12044,0.03291227
10027,0.022135934
9222,0.0024204645
4622,0.055397425
13349,0.3727245
6391,0.022974141
14512,0.26859778
4362,0.2815466
5236,0.11352975
8327,0.0016462094
11677,0.22906414
6581,0.1655961
5083,0.05057052
14404,0.12470432
869,0.050905287
10465,0.14554214
10574,0.23839441
11212,0.067559145
12120,0.036618162
8597,0.11791428
5346,0.0749563
7508,0.048349544
4755,0.20229858
1554,0.18909329
15536,0.064770296
11471,0.14424692
15171,0.0028303256
9057,0.0730006
12017,0.08231377
13230,0.0730006
4828,0.024501795
4746,0.5365862
1153,0.067727655
5619,0.09798688
4237,0.13204947
14662,0.052087232
14856,0.071180284
11325,0.0051692356
5538,0.030479573
17128,0.060581956
2073,0.0763462
13003,0.023545144
9694,0.05057052
12071,0.0051365877
13007,0.08645157
15651,0.008664172
16975,0.053962238
320,0.09502459
14878,0.11565827
10160,0.029813264
4944,0.35321733
1677,0.089784704
7594,0.13203457
12852,0.29659972
1057,0.08231377
5666,0.025818072
12983,0.029370261
14510,0.06390624
9191,0.23985025
14308,0.11912028
11748,0.09710513
10951,0.08497008
2633,0.234595
2796,0.065435514
10174,0.101999864
3257,0.06390624
4660,0.23839441
5158,0.013160581
12818,0.15461484
5257,0.0730006
3067,0.0023509488
8283,0.08040816
7683,0.1655961
12824,0.24326105
4501,0.16559511
11689,0.15733352
192,0.040463604
6948,0.040459268
3610,0.011234909
9732,0.10831097
16174,0.45269778
9643,0.06014105
11343,0.0730006
9616,0.07688435
9247,0.23839441
15082,0.1655961
13571,0.06368732
12482,0.10535689
7427,0.009861334
10704,0.17240395
12492,0.15265644
6828,0.05057052
14448,0.0039919326
8323,0.22608908
5545,0.07916092
371,0.009754094
6297,0.11565827
8533,0.038394384
10449,0.24261616
1167,0.01777051
7731,0.43957198
12505,0.053962238
16662,0.046847966
13703,0.24261616
4858,0.004852813
14939,0.0014832341
8087,0.058947727
426,0.064770296
9251,0.008195233
9135,0.0730006
3557,0.0730006
2296,0.27320325
15195,0.049788054
15053,0.06036725
13539,0.028409887
9362,0.18575478
4075,0.04281797
9922,0.025172314
16350,0.1308421
11511,0.0942625
9981,0.2923982
15497,0.017507138
12108,0.00021147238
14641,0.34054005
13998,0.15461484
9303,0.10498675
4678,0.0730006
6305,0.065435514
12995,0.033141818
16393,0.007015209
6870,0.053962238
11950,0.0038033458
16240,0.03919029
7807,0.12827295
5233,0.089168586
10367,0.4712869
5764,0.18465504
4815,0.06982045
8518,0.06390624
4215,0.029370261
10607,0.11351291
17435,0.1655961
8369,0.047664464
17248,0.1046806
7698,0.015542144
1432,0.18353657
1997,0.084725924
7744,0.4278015
7081,0.055397425
9158,0.23978664
14314,0.024494354
1458,0.24261616
8051,0.321648
1135,0.55551004
15944,0.0066297543
12153,0.08547549
9454,0.29837435
7027,0.046176672
14107,0.049788054
2134,0.0048966487
14445,0.03517524
7570,0.32738742
15900,0.13133273
8236,0.2807892
35,0.28831258
8602,0.0730006
5972,0.10639253
9392,0.6525611
14014,0.016977621
8358,0.0068536424
9966,0.24261616
7771,0.0730006
6171,0.24479389
8566,0.0730006
10482,0.0730006
2794,0.19617647
15199,0.070927225
10598,0.1655961
826,0.21112801
3332,0.04800558
1103,0.05489968
5712,0.2867429
6957,0.14022177
11954,0.051012106
9413,0.09710513
16386,0.3370125
11466,0.29222348
11244,0.0730006
7598,0.13841064
12485,0.047872428
15639,0.013083061
15973,0.11565827
5774,0.009300144
7498,0.24261616
5685,0.010337399
3378,0.1426864
4621,0.03614509
16081,0.05863561
7249,0.23310706
13895,0.038440254
15727,0.00568596
6201,0.011288517
1645,0.3675984
1698,0.1655961
280,0.08161102
14967,0.03745462
217,0.11670088
164,0.05057052
12686,0.028830893
15673,0.06549772
14482,0.36912918
10042,0.051662475
5132,0.057871003
7952,0.1033601
6463,0.06390624
1046,0.10056271
4709,0.06390624
970,0.0730006
13955,0.113820225
16128,0.1655961
15870,0.25021547
15012,0.06014105
2023,0.24261616
10295,0.0067727105
7808,0.015801907
1072,0.08040816
9909,0.34418082
16601,0.017462999
10266,0.3009377
5050,0.06014105
1294,0.1361363
8257,0.18067782
12989,0.0933306
9855,0.0730006
6730,0.102580056
17236,0.14126755
6722,0.15110713
16549,0.35908028
12130,0.008358499
16435,0.0730006
14055,0.0074764923
3519,0.0072288373
8178,0.0730006
4328,0.045946874
4276,0.0751763
14051,0.1371628
2078,0.01016459
7816,0.007289322
14777,0.003090295
10917,0.097567454
3179,0.0076218024
9690,0.0570858
11790,0.0944947
1267,0.079667725
16224,0.07331928
9166,0.029583868
931,0.11375636
17037,0.048535254
17357,0.04822191
5196,0.0730006
994,0.10893896
15882,0.0730006
14423,0.008303993
16728,0.03201341
10342,0.10103222
2536,0.020449502
9998,0.053962238
12603,0.1655961
13904,0.28576422
13072,0.008602
2867,0.0730006
8767,0.0730006
3997,0.052374355
11171,0.24326105
16069,0.053962238
15563,0.16553485
15439,0.023321282
7605,0.1479015
9950,0.6256929
8093,0.17607355
16461,0.018706456
15624,0.09710513
1533,0.0730006
5156,0.1655961
11783,0.066909485
